;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/09/2021 20:39:39
;----------------------------------------------

;Address Opcode 	ASM
0x002F	0x1586      	BSF        RB3_bit, BitPos(RB3_bit+0)
;MyProject.c,161 :: 		delay_ms(6000);         //Conta 6s
0x0030	0x303D      	MOVLW      61
0x0031	0x00FB      	MOVWF      R11
0x0032	0x30E1      	MOVLW      225
0x0033	0x00FC      	MOVWF      R12
0x0034	0x303F      	MOVLW      63
0x0035	0x00FD      	MOVWF      R13
L_interrupt15:
0x0036	0x0BFD      	DECFSZ     R13, 1
0x0037	0x2836      	GOTO       L_interrupt15
0x0038	0x0BFC      	DECFSZ     R12, 1
0x0039	0x2836      	GOTO       L_interrupt15
0x003A	0x0BFB      	DECFSZ     R11, 1
0x003B	0x2836      	GOTO       L_interrupt15
0x003C	0x0000      	NOP
0x003D	0x0000      	NOP
;MyProject.c,162 :: 		RB3_bit = 0;            //Para o motor
0x003E	0x1186      	BCF        RB3_bit, BitPos(RB3_bit+0)
;MyProject.c,164 :: 		}
L_interrupt14:
;MyProject.c,167 :: 		if( aux2 = 1){
0x003F	0x3001      	MOVLW      1
0x0040	0x00A8      	MOVWF      _aux2
0x0041	0x3000      	MOVLW      0
0x0042	0x00A9      	MOVWF      _aux2+1
;MyProject.c,168 :: 		if (aux3 ==30000)         //1us * 4 * 256  =  1,024ms  * 30000 ~= 6s
0x0043	0x0827      	MOVF       _aux3+1, 0
0x0044	0x3A75      	XORLW      117
0x0045	0x1D03      	BTFSS      STATUS, 2
0x0046	0x2849      	GOTO       L__interrupt31
0x0047	0x3030      	MOVLW      48
0x0048	0x0626      	XORWF      _aux3, 0
L__interrupt31:
0x0049	0x1D03      	BTFSS      STATUS, 2
0x004A	0x285E      	GOTO       L_interrupt17
;MyProject.c,170 :: 		RB5_bit = 0;            //Para o motor
0x004B	0x1286      	BCF        RB5_bit, BitPos(RB5_bit+0)
;MyProject.c,171 :: 		aux3 = 0;              //Reseta timer
0x004C	0x01A6      	CLRF       _aux3
0x004D	0x01A7      	CLRF       _aux3+1
;MyProject.c,172 :: 		RB4_bit = 1;            //Inicia o motor para outro lado
0x004E	0x1606      	BSF        RB4_bit, BitPos(RB4_bit+0)
;MyProject.c,173 :: 		delay_ms(6000);         //Conta 6s
0x004F	0x303D      	MOVLW      61
0x0050	0x00FB      	MOVWF      R11
0x0051	0x30E1      	MOVLW      225
0x0052	0x00FC      	MOVWF      R12
0x0053	0x303F      	MOVLW      63
0x0054	0x00FD      	MOVWF      R13
L_interrupt18:
0x0055	0x0BFD      	DECFSZ     R13, 1
0x0056	0x2855      	GOTO       L_interrupt18
0x0057	0x0BFC      	DECFSZ     R12, 1
0x0058	0x2855      	GOTO       L_interrupt18
0x0059	0x0BFB      	DECFSZ     R11, 1
0x005A	0x2855      	GOTO       L_interrupt18
0x005B	0x0000      	NOP
0x005C	0x0000      	NOP
;MyProject.c,174 :: 		RB4_bit = 0;            //Para o motor
0x005D	0x1206      	BCF        RB4_bit, BitPos(RB4_bit+0)
;MyProject.c,176 :: 		}
L_interrupt17:
;MyProject.c,178 :: 		}
L_interrupt12:
;MyProject.c,179 :: 		return;
;MyProject.c,180 :: 		}
L_end_interrupt:
L__interrupt29:
0x005E	0x0825      	MOVF       37, 0
0x005F	0x00F0      	MOVWF      R0
0x0060	0x0824      	MOVF       36, 0
0x0061	0x00FB      	MOVWF      R11
0x0062	0x0823      	MOVF       35, 0
0x0063	0x00FC      	MOVWF      R12
0x0064	0x0822      	MOVF       34, 0
0x0065	0x00FD      	MOVWF      R13
0x0066	0x085B      	MOVF       ___savePCLATH, 0
0x0067	0x008A      	MOVWF      PCLATH
0x0068	0x0E5A      	SWAPF      ___saveSTATUS, 0
0x0069	0x0083      	MOVWF      STATUS
0x006A	0x0EFF      	SWAPF      R15, 1
0x006B	0x0E7F      	SWAPF      R15, 0
0x006C	0x0009      	RETFIE
; end of _interrupt
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x006D	0x3021      	MOVLW      33
0x006E	0x1283      	BCF        STATUS, 5
0x006F	0x1303      	BCF        STATUS, 6
0x0070	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x0071	0x0BFD      	DECFSZ     R13, 1
0x0072	0x2871      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0073	0x0008      	RETURN
; end of _Delay_50us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0074	0x300F      	MOVLW      15
0x0075	0x1283      	BCF        STATUS, 5
0x0076	0x1303      	BCF        STATUS, 6
0x0077	0x00FC      	MOVWF      R12
0x0078	0x3047      	MOVLW      71
0x0079	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x007A	0x0BFD      	DECFSZ     R13, 1
0x007B	0x287A      	GOTO       L_Delay_5500us5
0x007C	0x0BFC      	DECFSZ     R12, 1
0x007D	0x287A      	GOTO       L_Delay_5500us5
0x007E	0x0000      	NOP
0x007F	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0080	0x0008      	RETURN
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0081	0x0000      	NOP
0x0082	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x0083	0x0008      	RETURN
; end of _Delay_1us
_RES032:
;__Lib_MathDouble.c,123 :: 		
;__Lib_MathDouble.c,128 :: 		
0x0084	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,129 :: 		
0x0085	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,130 :: 		
0x0086	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,131 :: 		
0x0087	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,132 :: 		
0x0088	0x01F3      	CLRF       R3
;__Lib_MathDouble.c,133 :: 		
0x0089	0x3000      	MOVLW      0
;__Lib_MathDouble.c,135 :: 		
L_end_RES032:
0x008A	0x0008      	RETURN
; end of _RES032
_SETFUN32:
;__Lib_MathDouble.c,138 :: 		
;__Lib_MathDouble.c,145 :: 		
0x008B	0x157B      	BSF        R11, 2
;__Lib_MathDouble.c,146 :: 		
0x008C	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,147 :: 		
0x008D	0x2895      	GOTO       SETFUN32EEE
;__Lib_MathDouble.c,148 :: 		
0x008E	0x3001      	MOVLW      1
;__Lib_MathDouble.c,149 :: 		
0x008F	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,150 :: 		
0x0090	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,151 :: 		
0x0091	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,152 :: 		
0x0092	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,153 :: 		
0x0093	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,154 :: 		
0x0094	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,155 :: 		
SETFUN32EEE:
;__Lib_MathDouble.c,156 :: 		
0x0095	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,158 :: 		
L_end_SETFUN32:
0x0096	0x0008      	RETURN
; end of _SETFUN32
_Delay_22us:
;__Lib_Delays.c,15 :: 		void Delay_22us() {
;__Lib_Delays.c,16 :: 		Delay_us(22);
0x0097	0x300E      	MOVLW      14
0x0098	0x1283      	BCF        STATUS, 5
0x0099	0x1303      	BCF        STATUS, 6
0x009A	0x00FD      	MOVWF      R13
L_Delay_22us1:
0x009B	0x0BFD      	DECFSZ     R13, 1
0x009C	0x289B      	GOTO       L_Delay_22us1
0x009D	0x0000      	NOP
;__Lib_Delays.c,17 :: 		}
L_end_Delay_22us:
0x009E	0x0008      	RETURN
; end of _Delay_22us
_SETFOV32:
;__Lib_MathDouble.c,79 :: 		
;__Lib_MathDouble.c,86 :: 		
0x009F	0x14FB      	BSF        R11, 1
;__Lib_MathDouble.c,87 :: 		
0x00A0	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,88 :: 		
0x00A1	0x28A9      	GOTO       SETFOV32EEE
;__Lib_MathDouble.c,89 :: 		
0x00A2	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,90 :: 		
0x00A3	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,91 :: 		
0x00A4	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,92 :: 		
0x00A5	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,93 :: 		
0x00A6	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,94 :: 		
0x00A7	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,95 :: 		
0x00A8	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,96 :: 		
SETFOV32EEE:
;__Lib_MathDouble.c,97 :: 		
0x00A9	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,99 :: 		
L_end_SETFOV32:
0x00AA	0x0008      	RETURN
; end of _SETFOV32
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x00AB	0x1683      	BSF        STATUS, 5
0x00AC	0x1303      	BCF        STATUS, 6
0x00AD	0x1BA0      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00AE	0x28B2      	GOTO       L__Lcd_Cmd21
0x00AF	0x1283      	BCF        STATUS, 5
0x00B0	0x1387      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00B1	0x28B4      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x00B2	0x1283      	BCF        STATUS, 5
0x00B3	0x1787      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x00B4	0x1683      	BSF        STATUS, 5
0x00B5	0x1B20      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00B6	0x28BA      	GOTO       L__Lcd_Cmd23
0x00B7	0x1283      	BCF        STATUS, 5
0x00B8	0x1307      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00B9	0x28BC      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x00BA	0x1283      	BCF        STATUS, 5
0x00BB	0x1707      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00BC	0x1683      	BSF        STATUS, 5
0x00BD	0x1AA0      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00BE	0x28C2      	GOTO       L__Lcd_Cmd25
0x00BF	0x1283      	BCF        STATUS, 5
0x00C0	0x1287      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00C1	0x28C4      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x00C2	0x1283      	BCF        STATUS, 5
0x00C3	0x1687      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x00C4	0x1683      	BSF        STATUS, 5
0x00C5	0x1A20      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x00C6	0x28CA      	GOTO       L__Lcd_Cmd27
0x00C7	0x1283      	BCF        STATUS, 5
0x00C8	0x1207      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00C9	0x28CC      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x00CA	0x1283      	BCF        STATUS, 5
0x00CB	0x1607      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x00CC	0x1856      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00CD	0x28D0      	GOTO       L__Lcd_Cmd29
0x00CE	0x1507      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00CF	0x28D1      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x00D0	0x1107      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x00D1	0x1587      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x00D2	0x2081      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x00D3	0x1187      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x00D4	0x1683      	BSF        STATUS, 5
0x00D5	0x19A0      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x00D6	0x28DA      	GOTO       L__Lcd_Cmd31
0x00D7	0x1283      	BCF        STATUS, 5
0x00D8	0x1387      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00D9	0x28DC      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x00DA	0x1283      	BCF        STATUS, 5
0x00DB	0x1787      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x00DC	0x1683      	BSF        STATUS, 5
0x00DD	0x1920      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00DE	0x28E2      	GOTO       L__Lcd_Cmd33
0x00DF	0x1283      	BCF        STATUS, 5
0x00E0	0x1307      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00E1	0x28E4      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x00E2	0x1283      	BCF        STATUS, 5
0x00E3	0x1707      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x00E4	0x1683      	BSF        STATUS, 5
0x00E5	0x18A0      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x00E6	0x28EA      	GOTO       L__Lcd_Cmd35
0x00E7	0x1283      	BCF        STATUS, 5
0x00E8	0x1287      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00E9	0x28EC      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x00EA	0x1283      	BCF        STATUS, 5
0x00EB	0x1687      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x00EC	0x1683      	BSF        STATUS, 5
0x00ED	0x1820      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x00EE	0x28F2      	GOTO       L__Lcd_Cmd37
0x00EF	0x1283      	BCF        STATUS, 5
0x00F0	0x1207      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00F1	0x28F4      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x00F2	0x1283      	BCF        STATUS, 5
0x00F3	0x1607      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x00F4	0x1856      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00F5	0x28F8      	GOTO       L__Lcd_Cmd39
0x00F6	0x1507      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00F7	0x28F9      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x00F8	0x1107      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x00F9	0x1587      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x00FA	0x2081      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x00FB	0x1187      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x00FC	0x1C56      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00FD	0x2900      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x00FE	0x2074      	CALL       _Delay_5500us
0x00FF	0x2901      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x0100	0x206D      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x0101	0x0008      	RETURN
; end of _Lcd_Cmd
_FIXSIGN32:
;__Lib_MathDouble.c,112 :: 		
;__Lib_MathDouble.c,116 :: 		
0x0102	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,117 :: 		
0x0103	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,118 :: 		
0x0104	0x3000      	MOVLW      0
;__Lib_MathDouble.c,120 :: 		
L_end_FIXSIGN32:
0x0105	0x0008      	RETURN
; end of _FIXSIGN32
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x0106	0x1283      	BCF        STATUS, 5
0x0107	0x1303      	BCF        STATUS, 6
0x0108	0x1056      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x0109	0x086D      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x010A	0x1683      	BSF        STATUS, 5
0x010B	0x00A0      	MOVWF      FARG_Lcd_Cmd_out_char
0x010C	0x20AB      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x010D	0x1456      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x010E	0x0008      	RETURN
; end of _Lcd_Chr_CP
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x010F	0x1283      	BCF        STATUS, 5
0x0110	0x1303      	BCF        STATUS, 6
0x0111	0x084F      	MOVF       ___DoICPAddr+1, 0
0x0112	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x0113	0x084E      	MOVF       ___DoICPAddr, 0
0x0114	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x0115	0x0008      	RETURN
; end of _____DoICP
_SETIOV3224:
;__Lib_MathDouble.c,1000 :: 		
;__Lib_MathDouble.c,1006 :: 		
0x0116	0x147B      	BSF        R11, 0
;__Lib_MathDouble.c,1007 :: 		
0x0117	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,1008 :: 		
0x0118	0x2921      	GOTO       SETIOV3224EEE
;__Lib_MathDouble.c,1010 :: 		
0x0119	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1011 :: 		
0x011A	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,1012 :: 		
0x011B	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1013 :: 		
0x011C	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,1014 :: 		
0x011D	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1015 :: 		
0x011E	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1016 :: 		
0x011F	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,1017 :: 		
0x0120	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,1018 :: 		
SETIOV3224EEE:
;__Lib_MathDouble.c,1019 :: 		
0x0121	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1021 :: 		
L_end_SETIOV3224:
0x0122	0x0008      	RETURN
; end of _SETIOV3224
_NRM3232:
;__Lib_MathDouble.c,167 :: 		
;__Lib_MathDouble.c,173 :: 		
;__Lib_MathDouble.c,175 :: 		
0x0123	0x01A1      	CLRF       __math_tempbD
;__Lib_MathDouble.c,176 :: 		
0x0124	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,177 :: 		
0x0125	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,178 :: 		
0x0126	0x2938      	GOTO       NORM3232
;__Lib_MathDouble.c,179 :: 		
0x0127	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,180 :: 		
0x0128	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,181 :: 		
0x0129	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,182 :: 		
0x012A	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,183 :: 		
0x012B	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,184 :: 		
0x012C	0x15A1      	BSF        __math_tempbD, 3
;__Lib_MathDouble.c,186 :: 		
0x012D	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,187 :: 		
0x012E	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,188 :: 		
0x012F	0x2938      	GOTO       NORM3232
;__Lib_MathDouble.c,189 :: 		
0x0130	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,190 :: 		
0x0131	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,191 :: 		
0x0132	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,192 :: 		
0x0133	0x11A1      	BCF        __math_tempbD, 3
;__Lib_MathDouble.c,193 :: 		
0x0134	0x1621      	BSF        __math_tempbD, 4
;__Lib_MathDouble.c,195 :: 		
0x0135	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,196 :: 		
0x0136	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,197 :: 		
0x0137	0x2946      	GOTO       JPNRES032
;__Lib_MathDouble.c,198 :: 		
NORM3232:
;__Lib_MathDouble.c,199 :: 		
0x0138	0x0821      	MOVF       __math_tempbD, 0
;__Lib_MathDouble.c,200 :: 		
0x0139	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,201 :: 		
0x013A	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,202 :: 		
0x013B	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,203 :: 		
0x013C	0x294A      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,204 :: 		
0x013D	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,205 :: 		
NORM3232A:
;__Lib_MathDouble.c,206 :: 		
0x013E	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,207 :: 		
0x013F	0x294E      	GOTO       JMPNFIXSIGN32
;__Lib_MathDouble.c,208 :: 		
0x0140	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,209 :: 		
0x0141	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,210 :: 		
0x0142	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,211 :: 		
0x0143	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,212 :: 		
0x0144	0x293E      	GOTO       NORM3232A
;__Lib_MathDouble.c,213 :: 		
0x0145	0x294A      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,214 :: 		
JPNRES032:
;__Lib_MathDouble.c,215 :: 		
0x0146	0x3001      	MOVLW      1
;__Lib_MathDouble.c,216 :: 		
0x0147	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,218 :: 		
0x0148	0x2084      	CALL       _RES032
;__Lib_MathDouble.c,220 :: 		
0x0149	0x2951      	GOTO       NORM32EEE
;__Lib_MathDouble.c,221 :: 		
JPNSETFUN32:
;__Lib_MathDouble.c,222 :: 		
0x014A	0x3002      	MOVLW      2
;__Lib_MathDouble.c,223 :: 		
0x014B	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,225 :: 		
0x014C	0x208B      	CALL       _SETFUN32
;__Lib_MathDouble.c,227 :: 		
0x014D	0x2951      	GOTO       NORM32EEE
;__Lib_MathDouble.c,228 :: 		
JMPNFIXSIGN32:
;__Lib_MathDouble.c,229 :: 		
0x014E	0x3004      	MOVLW      4
;__Lib_MathDouble.c,230 :: 		
0x014F	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,232 :: 		
0x0150	0x2102      	CALL       _FIXSIGN32
;__Lib_MathDouble.c,234 :: 		
NORM32EEE:
;__Lib_MathDouble.c,236 :: 		
L_end_NRM3232:
0x0151	0x0008      	RETURN
; end of _NRM3232
_Div_32x32_U:
;__Lib_Math.c,1318 :: 		
;__Lib_Math.c,1327 :: 		
;__Lib_Math.c,1329 :: 		
0x0152	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,1330 :: 		
0x0153	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,1331 :: 		
0x0154	0x01FB      	CLRF       R11
;__Lib_Math.c,1332 :: 		
0x0155	0x01FA      	CLRF       R10
;__Lib_Math.c,1333 :: 		
0x0156	0x01F9      	CLRF       R9
;__Lib_Math.c,1334 :: 		
0x0157	0x01F8      	CLRF       R8
;__Lib_Math.c,1336 :: 		
0x0158	0x01A0      	CLRF       ___math_tempb
